pattern_id,configuration_id,hole_shape,diameter_mm,separation_s_mm,separation_definition,pitch_x_mm,pitch_y_mm,active_plate_area_proxy_mm2,active_area_status,target_open_area_pct,infinite_square_grid_open_area_pct,target_hole_count_proxy,actual_hole_count,actual_open_area_pct,edge_margin_mm,cad_ready_candidate,evidence_class,source_evidence_classes,source_ref,product_fact,status,gate_note
M-3x4-7.0__PHI_DERIVED_SQUARE,M-3x4-7.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,CENTER_PITCH_DERIVED_FROM_P007_P009,0.700624,0.700624,588.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,10.000000,1198,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_NEEDS_EDGE_CLIP_RECOUNT,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
M-3x4-7.0__P008_AS_CENTER_PITCH_SENTINEL,M-3x4-7.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_CENTER_TO_CENTER_PITCH,0.500000,0.500000,588.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,19.634954,1198,NOT_RUN,NOT_RUN,UNRESOLVED,false,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,CONFLICTS_P009_BROAD_RANGE_FOR_R0_SQUARE_GRID_RETAIN_AS_INTERPRETATION_SENTINEL,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
M-3x4-7.0__P008_AS_EDGE_GAP,M-3x4-7.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_EDGE_TO_EDGE_GAP_SO_PITCH_EQUALS_D_PLUS_S,0.750000,0.750000,588.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,8.726646,1198,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_PATENT_INTERPRETATION_NOT_LOCKED,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
M+S-3x5-6.0__PHI_DERIVED_SQUARE,M+S-3x5-6.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,CENTER_PITCH_DERIVED_FROM_P007_P009,0.700624,0.700624,540.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,10.000000,1100,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_NEEDS_EDGE_CLIP_RECOUNT,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
M+S-3x5-6.0__P008_AS_CENTER_PITCH_SENTINEL,M+S-3x5-6.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_CENTER_TO_CENTER_PITCH,0.500000,0.500000,540.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,19.634954,1100,NOT_RUN,NOT_RUN,UNRESOLVED,false,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,CONFLICTS_P009_BROAD_RANGE_FOR_R0_SQUARE_GRID_RETAIN_AS_INTERPRETATION_SENTINEL,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
M+S-3x5-6.0__P008_AS_EDGE_GAP,M+S-3x5-6.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_EDGE_TO_EDGE_GAP_SO_PITCH_EQUALS_D_PLUS_S,0.750000,0.750000,540.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,8.726646,1100,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_PATENT_INTERPRETATION_NOT_LOCKED,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
S-3x5-5.5__PHI_DERIVED_SQUARE,S-3x5-5.5,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,CENTER_PITCH_DERIVED_FROM_P007_P009,0.700624,0.700624,453.750000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,10.000000,924,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_NEEDS_EDGE_CLIP_RECOUNT,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
S-3x5-5.5__P008_AS_CENTER_PITCH_SENTINEL,S-3x5-5.5,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_CENTER_TO_CENTER_PITCH,0.500000,0.500000,453.750000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,19.634954,924,NOT_RUN,NOT_RUN,UNRESOLVED,false,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,CONFLICTS_P009_BROAD_RANGE_FOR_R0_SQUARE_GRID_RETAIN_AS_INTERPRETATION_SENTINEL,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
S-3x5-5.5__P008_AS_EDGE_GAP,S-3x5-5.5,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,P008_INTERPRETED_AS_EDGE_TO_EDGE_GAP_SO_PITCH_EQUALS_D_PLUS_S,0.750000,0.750000,453.750000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,8.726646,924,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_PATENT_INTERPRETATION_NOT_LOCKED,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
L-2x4-8.0__PHI_DERIVED_SQUARE,L-2x4-8.0,CIRCULAR_CYLINDER_R0_CANDIDATE,0.250000,0.500000,CENTER_PITCH_DERIVED_FROM_P007_P009,0.700624,0.700624,512.000000,MEMBRANE_AREA_PROXY_NOT_ACTUAL_PLATE_POLYGON,10.000000,10.000000,1043,NOT_RUN,NOT_RUN,UNRESOLVED,true,C,P;C,"P007,P008,P009 and p1_layout_configuration_matrix.csv",false,P1_CANDIDATE_NEEDS_EDGE_CLIP_RECOUNT,P1 Gate requires CAD recount after clipping; no branch identifies production pitch or hole count
