feature_id,configuration_id,cad_name,entity_kind,parent_feature_id,quantity_rule,existence_class,topology_class,geometry_class,selection_class,parameter_refs,source_locator,uncertainty_ref,product_fact_scope,product_fact,cad_role,solver_use,material_policy,mass_policy,boolean_policy,export_policy,alternative_group,branch_id,promotion_gate,status,notes
ROOT_PRODUCT,ALL_CONFIGURATIONS,AJM_GEN1_PRODUCT_CAND,ASSEMBLY,ROOT,1,D,C,D,C,D001;D002;D003,AirJet Mini Data Sheet page 1,parameter registry or p1_cad_open_questions.csv,ENVELOPE_ONLY,false,full-product candidate assembly,REFERENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NO_BOOLEAN,NATIVE_ASSEMBLY,NONE,BASE,P1_REVIEW,NOT_BUILT,assembly identity is candidate; only envelope values are direct
ENVELOPE_REF,ALL_CONFIGURATIONS,ENVELOPE_27P5_41P5_2P8_D,REFERENCE,ROOT_PRODUCT,1,D,D,D,D,D001;D002;D003,AirJet Mini Data Sheet page 1 metric table,parameter registry or p1_cad_open_questions.csv,ENVELOPE_ONLY,true,locked reference envelope,REFERENCE_ONLY,PROHIBITED,EXCLUDE,NO_BOOLEAN,REFERENCE_ONLY,NONE,BASE,P1_G1_ENVELOPE,NOT_BUILT,only complete locked geometry in P1
TOP_COVER_CAND,ALL_CONFIGURATIONS,TOP_COVER_CAND,SOLID_CANDIDATE,ROOT_PRODUCT,1,I,I,C,C,C015;C004;C014;P013,official product renders and p1_vent_geometry_candidates.csv,parameter registry or p1_cad_open_questions.csv,EXISTENCE_ONLY,false,candidate package boundary,P1_CFD_WALL_PROXY,UNASSIGNED,EXCLUDE,CUT_BY_ONE_COMPLETE_VENT_CANDIDATE_SET,NATIVE_AND_STEP,TOP_COVER_BRANCH,SEE_VENT_TABLE,P1_GEOMETRY_REVIEW,NOT_BUILT,thickness and vent cuts are candidates
VENT_DRAWN_01_I,ALL_CONFIGURATIONS,VENT_DRAWN_01_I,CUT,TOP_COVER_CAND,1,I,I,I,C,C004;C014;P013,official dual-view drawn vent objects with homography uncertainty,parameter registry or p1_cad_open_questions.csv,DRAWN_OBJECTS_ONLY,false,candidate intake opening,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,CUT_TOP_COVER,NATIVE_AND_STEP,VENT_TOPOLOGY_BRANCH,DUAL_VIEW_V1,P1_IMAGE_AND_CONNECTIVITY_REVIEW,NOT_BUILT,drawn object is not a confirmed inlet group and does not imply cell count
VENT_DRAWN_02_I,ALL_CONFIGURATIONS,VENT_DRAWN_02_I,CUT,TOP_COVER_CAND,1,I,I,I,C,C004;C014;P013,official dual-view drawn vent objects with homography uncertainty,parameter registry or p1_cad_open_questions.csv,DRAWN_OBJECTS_ONLY,false,candidate intake opening,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,CUT_TOP_COVER,NATIVE_AND_STEP,VENT_TOPOLOGY_BRANCH,DUAL_VIEW_V1,P1_IMAGE_AND_CONNECTIVITY_REVIEW,NOT_BUILT,drawn object is not a confirmed inlet group and does not imply cell count
VENT_DRAWN_03_I,ALL_CONFIGURATIONS,VENT_DRAWN_03_I,CUT,TOP_COVER_CAND,1,I,I,I,C,C004;C014;P013,official dual-view drawn vent objects with homography uncertainty,parameter registry or p1_cad_open_questions.csv,DRAWN_OBJECTS_ONLY,false,candidate intake opening,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,CUT_TOP_COVER,NATIVE_AND_STEP,VENT_TOPOLOGY_BRANCH,DUAL_VIEW_V1,P1_IMAGE_AND_CONNECTIVITY_REVIEW,NOT_BUILT,drawn object is not a confirmed inlet group and does not imply cell count
VENT_DRAWN_04_I,ALL_CONFIGURATIONS,VENT_DRAWN_04_I,CUT,TOP_COVER_CAND,1,I,I,I,C,C004;C014;P013,official dual-view drawn vent objects with homography uncertainty,parameter registry or p1_cad_open_questions.csv,DRAWN_OBJECTS_ONLY,false,candidate intake opening,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,CUT_TOP_COVER,NATIVE_AND_STEP,VENT_TOPOLOGY_BRANCH,DUAL_VIEW_V1,P1_IMAGE_AND_CONNECTIVITY_REVIEW,NOT_BUILT,drawn object is not a confirmed inlet group and does not imply cell count
SIDE_FRAME_PROXY_U,ALL_CONFIGURATIONS,SIDE_FRAME_PROXY_U,CONSTRUCTION_BODY,ROOT_PRODUCT,1,U,C,C,C,D001;D002;D003,p1_internal_geometry_rules.csv SIDE_WALL_BOUNDARY_R0; no separate Mini part geometry,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate fluid-wall closure datum,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,FLUID_BOUNDARY_DATUM_ONLY,DO_NOT_EXPORT_AS_PHYSICAL_SOLID,SIDE_FRAME_BRANCH,SIDE_WALL_BOUNDARY_R0,P1_GEOMETRY_REVIEW,NOT_BUILT,solver wall selection is resolved on fluid faces; no identified side-frame part
FLEX_KEEP_OUT_U,ALL_CONFIGURATIONS,FLEX_KEEP_OUT_REF_U,KEEP_OUT,ROOT_PRODUCT,1,U,U,U,C,NONE,official images qualitatively show a flex region; no registry geometry,parameter registry or p1_cad_open_questions.csv,NONE,false,reference keep-out,REFERENCE_ONLY,PROHIBITED,EXCLUDE,NO_BOOLEAN,DO_NOT_EXPORT,FLEX_BRANCH,U_REFERENCE,P1_IMAGE_REVIEW,NOT_BUILT,"no material, mass, or solver body"
CELL_PARTITION_CAND_TEMPLATE,ALL_CONFIGURATIONS,CELL_PARTITION_DATUM_C__CELL_{NNN},CONSTRUCTION_SURFACE,ROOT_PRODUCT,INTERNAL_MIDPLANES_DEDUP_SHARED_EDGES,P,P,C,C,P014;C001;C002;C003;C018,patent architecture candidate plus CELL_PARTITION_DATUM_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate cell-boundary datum,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN_DEDUP_TILE_EDGE_DATUM,DO_NOT_EXPORT_AS_PHYSICAL_SOLID,CELL_GEOMETRY_BRANCH,CELL_PARTITION_DATUM_R0,P1_TOPOLOGY_REVIEW,NOT_BUILT,zero-thickness internal tile midplanes are explicit R0 bookkeeping only; they do not partition the declared fluid union or claim a physical wall
