question_id,feature_id,question,evidence_class,current_value_or_status,allowed_p1_treatment,prohibited_claim,resolution_gate,required_new_evidence,status,product_fact
OQ001,VENT_DRAWN_01_I,image-inferred candidate vent positions and shapes,I,candidate_v1_dual_view_homography,use dual-view candidate with stored uncertainty,image candidate is exact production geometry,P1_IMAGE_REVIEW,new orthographic image or physical measurement,OPEN,false
OQ002,VENT_DRAWN_01_I,true intake group count and mapping to cells,U,4_drawn_vent_objects_not_confirmed_groups,retain drawn-object names and branch the distribution volume,vent count equals group count or cell count,P1_TOPOLOGY_REVIEW,CT/teardown or explicit official architecture,OPEN,false
OQ003,EXHAUST_MANIFOLD_FLUID_CAND,exact exhaust manifold 3D geometry,U,TBD,retain at least two documented C branches,a selected candidate is production geometry,P1_TOPOLOGY_REVIEW,orthographic/CT/teardown/official dimensions,OPEN,false
OQ004,SPOUT_FLUID_CAND,spout cross-section length wall thickness and exact position,U,TBD,use qualitative single-side topology plus explicit C branch,official schematic fixes spout dimensions,P1_TOPOLOGY_REVIEW,dimensioned official drawing or measurement,OPEN,false
OQ005,SIDE_FRAME_PROXY_U,separate side-frame identity and wall section,U,TBD,use fluid-wall closure proxy only,a proxy is an identified product part,P1_GEOMETRY_REVIEW,section evidence or teardown,OPEN,false
OQ006,FLEX_KEEP_OUT_U,flex keep-out polygon thickness and material,U,TBD,reference keep-out only; no solver export,flex shape or mass is known,P1_IMAGE_REVIEW,measured pixels with scale or teardown,OPEN,false
OQ007,TOP_CHAMBER_FLUID_CAND_TEMPLATE,shared grouped or independent top chambers,U,TBD,keep topology branches,one sharing mode is the production structure,P1_TOPOLOGY_REVIEW,internal imaging or stronger patent-product mapping,OPEN,false
OQ008,ORIFICE_PLATE_CAND,P008 separation s center-versus-edge definition,U,0.50,retain center-pitch and edge-gap interpretation sentinels,P008 is silently a center pitch,P1_G4_ORIFICE_CLOSURE,unambiguous figure interpretation or new source,OPEN,false
OQ009,ORIFICE_PLATE_CAND,production hole shape and cone angle,U,TBD,use circular cylinder R0 and retain conical deferred branch,R0 cylinder is production shape,P1_G4_ORIFICE_CLOSURE,section image or direct measurement,OPEN,false
OQ010,C019_TOP_REF,physical decomposition and location of residual thickness,U,0.735,compare 0.25/0.50/0.75 placement as geometry-only,residual reference bodies are physical layers,P1_G3_THICKNESS,section measurement or identified parts,OPEN,false
OQ011,MEMBRANE_CAND_TEMPLATE,size-specific actuator thickness and layer stack,U,0.275,P002 cross-size placeholder only; branch before P2,all membrane sizes use the 8 mm patent thickness,P2_ENTRY,size-specific structural evidence or calibration,OPEN,false
OQ012,ORIFICE_FLUID_SET_CAND_TEMPLATE,actual active plate polygon and hole count,C,PROXY_ONLY,recount after CAD Boolean and report actual porosity,proxy hole count is production count,P1_G4_ORIFICE_CLOSURE,completed CAD plus geometry validation,OPEN,false
OQ013,ROOT_PRODUCT,materials densities and complete mass allocation,U,TBD,export volumes and unresolved mass separately,candidate geometry closes exactly to 11 g,P1_MASS_BUDGET_REVIEW,material evidence or measured component masses,OPEN,false
OQ014,ROOT_PRODUCT,external fillets chamfers and manufacturing details,U,TBD,suppress in R0 unless required for topology,marketing render edge treatment is dimensioned,P1_GEOMETRY_REVIEW,dimensioned image or measurement,OPEN,false
OQ015,EXTERNAL_INLET_DOMAIN_C,external plenum and test-domain extent,C,TBD,defer final domain to P4 and label numerical,external domain is a product component,P4_ENTRY,domain-independence study,OPEN,false
