budget_id,bottom_up_order,component,parameter_id,thickness_mm,z_min_mm,z_max_mm,representation,evidence_class,status,uncertainty_or_range,source_or_derivation,product_fact,applicability_note,solver_use,gate_note
TB0-PLACEHOLDER,1,HEAT_SPREADER,C009,0.800000,0.000000,0.800000,candidate thermal solid,C,cad_placeholder,0.30-0.90 mm exploratory P1 range; no mass constraint claimed until material density effective area and remaining-part mass are modeled,C009,false,P1 candidate geometry; material and physics require their own evidence records,P1_GEOMETRY_CANDIDATE,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,2,RESIDUAL_BOTTOM_PLACEHOLDER,C019_BOTTOM,0.367500,0.800000,1.167500,derived placeholder solid,U,DERIVED_UNRESOLVED_PLACEHOLDER,depends on C019 and C020,"C019,C020",false,unresolved one-dimensional thickness bookkeeping; not an identified physical continuous layer,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,3,INTERNAL_SUPPORT_ALLOWANCE,C017,0.100000,1.167500,1.267500,aggregate placeholder solid,C,cad_placeholder,0.05-0.25 mm exploratory geometry allowance for unresolved bond electrode and support solids,C017,false,unresolved one-dimensional thickness bookkeeping; not an identified physical continuous layer,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,4,IMPINGEMENT_CHANNEL,P010,0.250000,1.267500,1.517500,fluid,P,patent_range,0.2-1.0 mm broad; 0.2-0.3 mm preferred,P010,false,P1 candidate fluid geometry; validate connectivity and collision,P1_GEOMETRY_FLUID,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,5,ORIFICE_PLATE,C016,0.100000,1.517500,1.617500,candidate solid,C,cad_placeholder,0.05-0.20 mm exploratory range; no direct Mini value,C016,false,P1 candidate geometry; material and physics require their own evidence records,P1_GEOMETRY_CANDIDATE,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,6,BOTTOM_CHAMBER,C018,0.040000,1.617500,1.657500,fluid,C,derived_candidate,0.015-0.070 mm from 10-60 um displacement plus 5-10 um clearance,C018,false,P1 candidate fluid geometry; validate connectivity and collision,P1_GEOMETRY_FLUID,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,7,ACTUATOR_EFFECTIVE,P002,0.275000,1.657500,1.932500,candidate structural solid,P,patent_range,0.2-0.35 mm for an 8 mm element,P002,false,8 mm patent-element thickness reused only as a cross-size CAD placeholder; branch by membrane size before P2,GEOMETRY_ONLY_UNTIL_SIZE_SPECIFIC_P2_BRANCH,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,8,TOP_CHAMBER,P005,0.250000,1.932500,2.182500,fluid,P,patent_range,0.05-0.5 mm broad; 0.2-0.3 mm preferred,P005,false,P1 candidate fluid geometry; validate connectivity and collision,P1_GEOMETRY_FLUID,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,9,RESIDUAL_TOP_PLACEHOLDER,C019_TOP,0.367500,2.182500,2.550000,derived placeholder solid,U,DERIVED_UNRESOLVED_PLACEHOLDER,depends on C019 and C020,"C019,C020",false,unresolved one-dimensional thickness bookkeeping; not an identified physical continuous layer,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
TB0-PLACEHOLDER,10,TOP_COVER,C015,0.250000,2.550000,2.800000,candidate solid,C,cad_placeholder,0.10-0.40 mm exploratory range; no direct layer measurement,C015,false,P1 candidate geometry; material and physics require their own evidence records,P1_GEOMETRY_CANDIDATE,"C019 placement is unresolved; exact 2.8 mm closure is geometric only, not internal-structure identification"
