product_component_id,product_component_name,patent,exact_locator,supported_claim,evidence_class,product_applicability,limitation_or_alternative,confidence
A02,Central anchor,"US12137540B2; US11978690B2; US11802554B2","US121 local PDF p.4 FIGS.1A-1C; p.19 printed col.4 lines42-60; p.21 col.7 lines1-24. US119 p.3-5 FIGS.1A-1G; p.14 col.4 lines45-65; p.16 col.7 lines15-45. US118 p.4 FIGS.1A-1C; p.6 FIGS.2A-2C",A vibrating cooling element may be supported at a central region while its perimeter remains movable; multiple anchor implementations are disclosed.,P,Candidate internal support architecture for an AirJet-like reconstruction.,"Mini/G2 public product material does not disclose the production anchor. Alternatives include edge anchoring, adhesive supports, rotational anchors and other support shapes.","Patent: high; product-specific: medium-low"
A03,Top chamber,"US12137540B2; US11978690B2","US121 p.4 FIGS.1A-1C; p.19 col.4 lines42-60; p.20 col.6 lines5-26. US119 p.3-5 FIGS.1A-1F; p.14 col.4 lines45-65; p.15 col.6 lines20-29",The top plate vibrating element and side boundaries form an upper chamber receiving air through one or more vents.,P,Strong candidate functional volume because public product views show top-side intake openings and vibrating membranes.,Exact chamber height shape cell sharing and vent assignment remain unknown.,"Patent: high; product-specific: medium"
A04,Bottom chamber,"US12137540B2; US11978690B2","US121 p.4 FIGS.1A-1C; p.20 col.6 lines5-13 and27-46. US119 p.3-5 FIGS.1A-1F; p.15 col.6 lines20-61",The orifice plate vibrating element support and side boundaries form a lower chamber sized to accommodate membrane motion.,P,Strong candidate pressure chamber upstream of the jet orifices.,Production chamber height clearance and detailed wall construction are not disclosed.,"Patent: high; product-specific: medium"
F03,Perimeter transfer path,"US12137540B2; US11978690B2","US121 p.4 FIGS.1B-1C airflow arrows; p.20 col.6 lines5-13; p.21 col.7 lines25-43. US119 p.4-5 FIGS.1C-1F; p.15 col.6 lines20-29; p.16 col.7 lines46-65",The upper and lower chambers communicate around the movable-element perimeter; vibration moves fluid from the upper chamber into the lower chamber and toward the orifices.,P,Candidate valveless transfer mechanism for an AirJet-like model.,Does not prove a mechanical check valve. Transfer clearance and rectification mechanism remain parameterized.,"Patent: high; product-specific: medium"
F04,Orifice plate,"US12137540B2; US11978690B2; US11802554B2","US121 p.4 FIGS.1A-1C; p.21 col.8 lines39-65; p.22 col.9 lines1-44. US119 p.3-5 FIGS.1A-1F; p.10-11 FIGS.10A-10D; p.14 col.4 lines1-6 and45-65. US118 p.4 FIGS.1A-1C",A plate carrying multiple orifices converts oscillating chamber flow into high-speed jets; shape spacing and open fraction affect backflow and performance.,P,Public product descriptions support pulsating jets so an orifice array is a strong functional candidate.,Exact hole count diameter separation taper and whether orifice and jet-channel plates are integral remain unknown.,"Patent: high; product-specific qualitative: medium-high; dimensional: low"
F05,Impingement channel,"US12137540B2; US11978690B2","US121 p.4 FIGS.1A-1C dimension y and airflow arrows; p.20 col.5 lines43-61; p.21 col.8 lines62-65; p.22 col.10 lines25 onward. US119 p.3-5 FIGS.1A-1F; p.15 col.5 lines53 onward and col.6 lines1-5",Jets cross a small gap strike the heated surface approximately normally then turn and travel laterally along that surface.,P,Directly compatible with published AirJet operating diagrams and heat-spreader mounting concept.,Patent gap ranges are design embodiments not measured Mini/G2 production gaps. Surface texture and channel cross-section remain unresolved.,"Patent: high; product-specific qualitative: high; dimensional: medium-low"
P05,Exhaust spout or outlet duct,US12137540B2,"US121 p.4 FIGS.1B-1C peripheral outflow; p.22 printed col.10 lines3-22",Heated fluid may be carried away by chimneys or ducting after flowing toward the periphery; discharge and recirculation variants are contemplated.,P,Supports a generic edge-exhaust or duct concept. Exact integrated spout uses product-sheet evidence separately.,The patent permits several outlet or recirculation arrangements and does not establish Mini/G2 spout position section one-sidedness or production geometry.,"Patent generic concept: high; exact product spout: low"
A01,Multi-cell array,"US12137540B2; US11978690B2; US11802554B2","US121 p.12-13 FIGS.10A-10C; p.13-14 FIGS.11A-11D; p.15 FIGS.12-13; p.19 col.4 lines16-22; p.21 col.8 lines39-48. US119 p.7-8 FIGS.3A-3E; p.14 col.4 lines24-30; p.15 col.6 lines8-12. US118 p.8 FIGS.4A-4E; p.10 FIGS.7A-7B",A cooling product may contain a one- or two-dimensional plurality of individually driven cooling cells.,P,Plural membranes in public product material make a multi-cell full-product model more defensible than a single-cell product model.,Patent figures do not establish production cell count pitch edge-cell treatment dead zones or grouping for Mini/G2.,"Patent: high; product-specific multi-cell: medium-high; exact layout: low"
F04-SHARED,Shared top or orifice plates,"US12137540B2; US11802554B2","US121 p.12-14 FIGS.10A-11D; p.19 col.4 lines16-22; p.21 col.8 lines39-48. US118 p.10 FIGS.7A-7B",Multiple cells may share a top plate or orifice plate while retaining cell-specific vents or orifice sets.,P,Useful as one full-product CAD topology candidate.,Separated plates grouped chambers and partially shared structures remain equally plausible without product teardown evidence.,"Patent: high; product-specific: medium-low"
C008,Out-of-phase drive,"US12137540B2; US11978690B2; US11802554B2","US121 p.8 FIGS.6A-6C; p.12 FIGS.9A-10B; p.13-15 FIGS.10C-13; p.19 col.3 lines53-65. US119 p.4 FIGS.1C-1D; p.5 FIGS.1E-1F; p.14 col.4 lines31-44; p.16 col.7 lines20-29. US118 p.8 FIGS.4A-4E",Different portions of one element multiple elements in one cell or adjacent cells may be driven out of phase; 180 degrees is disclosed as an example.,P,A required simulation alternative for phase-map and ripple studies not a known production setting.,No public evidence establishes Mini/G2 cell-to-cell phase map synchronization topology or a universal 180-degree scheme.,"Patent: high; exact product phase map: low"
