selection_id,owner_feature_id,entity_type,selection_role,solver_target,evidence_class,product_fact_scope,expected_cardinality,expansion_rule,normal_direction_rule,area_or_count_check,boundary_condition_status,branch_id,export_to_solver,stable_rebuild_rule,status,notes
NS_EXTERNAL_INLET_C,EXTERNAL_INLET_DOMAIN_C,FACE,EXTERNAL_INLET,P4_FLUENT,C,NONE,1,LITERAL_SELECTION_ID,OUTWARD_FROM_DOMAIN,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_EXTERNAL_PLENUM_VENT_FACES_C,EXTERNAL_INLET_DOMAIN_C,FACE_SET,EXTERNAL_TO_FOUR_VENTS,P4_FLUENT,C,NONE,4,LITERAL_SELECTION_ID,TOWARD_PRODUCT,FACE_COUNT_EQUALS_4_AND_AREA_MATCHES_VENT_SET,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_DRAWN_SET_I,TOP_COVER_CAND,FACE_SET,FOUR_DRAWN_VENT_OPENINGS,P1_P4,I,DRAWN_OBJECTS_ONLY,4,LITERAL_SELECTION_ID,INTO_PRODUCT_CANDIDATE,UNION_OF_V01_TO_V04_WITHOUT_GROUP_INFERENCE,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_DRAWN_01_I,VENT_DRAWN_01_I,FACE,DRAWN_VENT_CANDIDATE,P1_P4,I,DRAWN_OBJECTS_ONLY,1,LITERAL_SELECTION_ID,INTO_PRODUCT_CANDIDATE,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_DRAWN_02_I,VENT_DRAWN_02_I,FACE,DRAWN_VENT_CANDIDATE,P1_P4,I,DRAWN_OBJECTS_ONLY,1,LITERAL_SELECTION_ID,INTO_PRODUCT_CANDIDATE,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_DRAWN_03_I,VENT_DRAWN_03_I,FACE,DRAWN_VENT_CANDIDATE,P1_P4,I,DRAWN_OBJECTS_ONLY,1,LITERAL_SELECTION_ID,INTO_PRODUCT_CANDIDATE,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_DRAWN_04_I,VENT_DRAWN_04_I,FACE,DRAWN_VENT_CANDIDATE,P1_P4,I,DRAWN_OBJECTS_ONLY,1,LITERAL_SELECTION_ID,INTO_PRODUCT_CANDIDATE,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_VENT_RISER_INLET_FACES_C,VENT_RISER_FLUID_CAND,FACE_SET,FOUR_VENT_OPENINGS_TO_UPSTREAM_FLUID,P1_P4,C,DRAWN_OBJECTS_ONLY,4,LITERAL_SELECTION_ID,FROM_TOP_COVER,FACE_COUNT_EQUALS_4_AND_AREA_MATCHES_VENT_SET_AFTER_UPSTREAM_UNION,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_TOP_PLENUM_BODY_C,TOP_CHAMBER_FLUID_CAND_TEMPLATE,BODY,SHARED_TOP_PLENUM,P1_P3_P4,C,NONE,1,LITERAL_SELECTION_ID,NOT_APPLICABLE,BODY_VOLUME_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_TOP_PLENUM_TO_PERIM__CELL_{NNN},TOP_CHAMBER_FLUID_CAND_TEMPLATE,FACE,TOP_PLENUM_TO_CELL_TRANSFER,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_PERIMETER_GAP,ONE_FACE_PER_CELL_AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
