binding_id,feature_id,parameter_role,parameter_id,chosen_value,unit,evidence_class,source_locator,derivation,parent_parameter_ids,uncertainty_or_range,adjustable,geometry_only,applicability,configuration_override,promotion_gate,product_fact
B001,ENVELOPE_REF,WIDTH,D001,27.5,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B002,ENVELOPE_REF,LENGTH,D002,41.5,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B003,ENVELOPE_REF,THICKNESS,D003,2.8,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B004,TOP_COVER_CAND,THICKNESS,C015,0.25,mm,C,official data sheet fixes total thickness only,P1 total-thickness closure,P1 total-thickness closure,0.10-0.40 mm exploratory range; no direct layer measurement,true,false,CAD/mass,SEE_P1_CAD_PARAMETER_MAP,P1_GEOMETRY_REVIEW,false
B005,TOP_COVER_CAND,INTAKE_GEOMETRY,C004,candidate_v1_dual_view_homography,-,I,AirJet Mini Data Sheet page 1 two product renders,official_image_measurements.csv plus gen1_vent_homography_results.csv,official_image_measurements.csv plus gen1_vent_homography_results.csv,corner +/-3 px and endpoint +/-2 px propagated by 10000-sample Monte Carlo; cross-view center shift reaches about 2.6 mm; marketing-render model error remains unknown,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B006,VENT_DRAWN_01_I,WIDTH_PRIOR,P013,0.75,mm,P,US12137540B2 local PDF p.20 printed col.6 lines49-56,midpoint of preferred embodiment,midpoint of preferred embodiment,0.25-2.0 mm broad; 0.5-1.0 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B007,VENT_DRAWN_01_I,DRAWN_OBJECT_COUNT,C014,4_drawn_vent_objects_not_confirmed_groups,count,I,AirJet Mini Data Sheet page 1 two product renders,dual-view object extraction and topology comparison,dual-view object extraction and topology comparison,both official render objects draw four elongated vents but production group count is unverified,true,false,CAD/flow,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B008,VENT_RISER_FLUID_CAND,VENT_PLANFORM_DATASET,C004,candidate_v1_dual_view_homography,-,I,AirJet Mini Data Sheet page 1 two product renders,official_image_measurements.csv plus gen1_vent_homography_results.csv,official_image_measurements.csv plus gen1_vent_homography_results.csv,corner +/-3 px and endpoint +/-2 px propagated by 10000-sample Monte Carlo; cross-view center shift reaches about 2.6 mm; marketing-render model error remains unknown,true,true,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B009,VENT_RISER_FLUID_CAND,RISER_COUNT_FROM_DRAWN_OBJECTS,C014,4_drawn_vent_objects_not_confirmed_groups,count,I,AirJet Mini Data Sheet page 1 two product renders,dual-view object extraction and topology comparison,dual-view object extraction and topology comparison,both official render objects draw four elongated vents but production group count is unverified,true,true,CAD/flow,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B010,VENT_RISER_FLUID_CAND,PRODUCT_TOP_Z,D003,2.8,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,true,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
