optimization_id,baseline_parameter_ids,variable,variable_kind,activation_gate,initial_domain,unit,model_scope,objective_links,hard_constraints,status,notes
OPT-GEO-001,P007,orifice_equivalent_diameter,continuous,P6_PASS,0.20-0.30,mm,P3/P4/P5,Rth;P_airjet;pressure_ripple,porosity;minimum spacing;manufacturing;full-product connectivity,LOCKED_UNTIL_P6_PASS,Preferred patent interval only; P6 posterior and manufacturing review must refreeze the domain
OPT-GEO-002,P009,open_area_fraction,continuous,P6_PASS,8-12,percent,P3/P4/P5,Rth;P_airjet;pressure_ripple,orifice count closure;minimum ligament;complete plate,LOCKED_UNTIL_P6_PASS,Do not change hole count independently of diameter pitch and active area
OPT-GEO-003,P010;P007,impingement_gap_ratio_H_over_D,derived_continuous,P6_PASS,derived_from_active_P010_and_P007_bounds,ratio,P3/P4/P5,Rth;temperature_uniformity;P_airjet,envelope;no collision;complete impingement channel,LOCKED_UNTIL_P6_PASS,Optimize the ratio through its physical parent dimensions and preserve lineage
OPT-GEO-004,C016,orifice_plate_thickness,continuous,P6_PASS,0.05-0.20,mm,P1/P3/P4/P5,Rth;P_airjet,2.8 mm stack closure;robust Boolean;manufacturing,LOCKED_UNTIL_P6_PASS,C-class baseline candidate not a measured Mini thickness
OPT-FLOW-001,C004,intake_opening_geometry,discrete_geometry_branch,P6_PASS,P6_accepted_design_branches,-,P1/P4/P5,Rth;flow_uniformity;pressure_ripple,envelope;all openings connected;image baseline retained,LOCKED_UNTIL_P6_PASS,Design deviation must not overwrite the I-class reconstructed opening candidate
OPT-FLOW-002,C005,exhaust_manifold_geometry,discrete_geometry_branch,P6_PASS,P6_accepted_design_branches,-,P1/P4/P5,Rth;flow_uniformity;P_airjet;pressure_ripple,single physical outlet;no dead zones;envelope,LOCKED_UNTIL_P6_PASS,Compare complete manifolds only
OPT-CTRL-001,P003,drive_frequency,continuous,P6_PASS,P6_structural_flow_posterior,kHz,P2/P3/P4/P5,Rth;P_airjet;pressure_ripple,resonance consistency;1 W budget;stable periodic state,LOCKED_UNTIL_P6_PASS,Patent range is a prior and not a direct Mini measurement
OPT-CTRL-002,P004,tip_amplitude,continuous,P6_PASS,P6_structural_flow_posterior,um,P2/P3/P4/P5,Rth;P_airjet;pressure_ripple,no membrane collision;fatigue screen;1 W budget,LOCKED_UNTIL_P6_PASS,Derived bottom clearance must update with amplitude
OPT-CTRL-003,C008,cell_phase_map,discrete_control_branch,P6_PASS,in_phase;adjacent_180;P6_accepted_grouped_maps,degree,P4/P5,Rth;flow_uniformity;P_airjet;pressure_ripple,stable periodic state;all cells active;1 W budget,LOCKED_UNTIL_P6_PASS,Keep phase-map lineage and do not infer the production control law
OPT-THERM-001,C009,spreader_thickness,continuous,P6_PASS,0.30-0.90,mm,P1/P5,Rth;temperature_uniformity,2.8 mm stack closure;mass target;structural clearance,LOCKED_UNTIL_P6_PASS,System integration branch; range must be refrozen after P6 mass closure
OPT-THERM-002,C010,spreader_material,discrete_material_branch,P6_PASS,P6_accepted_material_set,-,P5,Rth;temperature_uniformity,mass target;material property provenance,LOCKED_UNTIL_P6_PASS,Report material and thickness interaction
OPT-THERM-003,C011,TIM_resistance,continuous_integration_branch,P6_PASS,target_host_stack_range,m2K/W,P5,Rth;Tmax,target host provenance;separate AirJet body and integration claims,LOCKED_UNTIL_P6_PASS,Do not use TIM fitting to hide an AirJet airflow or heat-accounting error
OPT-LAYOUT-001,C001;C002;C003,cell_layout_family,discrete_model_family,P6_PASS,P6_retained_main_and_alternative_families,-,P1/P2/P3/P4/P5,Rth;temperature_uniformity;P_airjet;pressure_ripple,envelope;mass;power;complete full-product path,LOCKED_UNTIL_P6_PASS,High-cost family comparison after continuous-variable route is stable
